ILCE_ADI;MAHALLE_ADI
ALİAĞA;AŞAĞIŞAKRAN
ALİAĞA;ATATÜRK
ALİAĞA;B.HAYRETTİN PAŞA
ALİAĞA;BAHÇEDERE
ALİAĞA;BOZKÖY
ALİAĞA;ÇAKMAKLI
ALİAĞA;ÇALTILIDERE
ALİAĞA;ÇITAK
ALİAĞA;ÇORAKLAR
ALİAĞA;FATİH
ALİAĞA;GÜZELHİSAR
ALİAĞA;HACIÖMERLİ
ALİAĞA;HOROZGEDİĞİ
ALİAĞA;KALABAK
ALİAĞA;KAPUKAYA
ALİAĞA;KARAKÖY
ALİAĞA;KARAKUZU
ALİAĞA;KAZIM DİRİK
ALİAĞA;KURTULUŞ
ALİAĞA;KÜLTÜR
ALİAĞA;MİMAR SİNAN
ALİAĞA;ÖRNEKKENT
ALİAĞA;SAMURLU
ALİAĞA;SİTELER
ALİAĞA;ŞAKRAN HASBİ EFENDİ
ALİAĞA;ŞAKRAN SAYFİYE
ALİAĞA;ŞEHİTKEMAL
ALİAĞA;UZUNHASANLAR
ALİAĞA;YALI
ALİAĞA;YENİ
ALİAĞA;YUKARI ŞEHİTKEMAL
ALİAĞA;YÜKSEKKÖY
BALÇOVA;BAHÇELERARASI
BALÇOVA;ÇETİN EMEÇ
BALÇOVA;EĞİTİM
BALÇOVA;FEVZİ ÇAKMAK
BALÇOVA;İNCİRALTI
BALÇOVA;KORUTÜRK
BALÇOVA;ONUR
BALÇOVA;TELEFERİK
BAYINDIR;ALANKIYI
BAYINDIR;ALANKÖY
BAYINDIR;ARIKBAŞI
BAYINDIR;ATATÜRK
BAYINDIR;BALCILAR
BAYINDIR;BIYIKLAR
BAYINDIR;BURUNCUK
BAYINDIR;CAMİİ
BAYINDIR;CUMHURİYET
BAYINDIR;ÇAMLIBEL
BAYINDIR;ÇENİKLER
BAYINDIR;ÇINAR
BAYINDIR;ÇINARDİBİ
BAYINDIR;ÇIRPI CAMİ
BAYINDIR;ÇİFTÇİGEDİĞİ
BAYINDIR;DEMİRCİLİK
BAYINDIR;DEREKÖY
BAYINDIR;DERNEKLİ
BAYINDIR;ELİFLİ
BAYINDIR;ERGENLİ
BAYINDIR;FATİH
BAYINDIR;FIRINLI
BAYINDIR;GAZİLER
BAYINDIR;HACI BEŞİR
BAYINDIR;HACI İBRAHİM
BAYINDIR;HASKÖY
BAYINDIR;HATAY
BAYINDIR;HAVUZBAŞI
BAYINDIR;HİSARLIK
BAYINDIR;İBRAHİMÇAVUŞ
BAYINDIR;KABAAĞAÇ
BAYINDIR;KARAHALİLLİ
BAYINDIR;KARAHAYIT
BAYINDIR;KARAPINAR
BAYINDIR;KARAVELİLER
BAYINDIR;KIZILCAAĞAÇ
BAYINDIR;KIZILCAOVA
BAYINDIR;KIZILKEÇİLİ
BAYINDIR;KIZILOBA
BAYINDIR;KURT
BAYINDIR;LÜTUFLAR
BAYINDIR;MEKTEP
